district,address,boomTime,lat,lon
大同區,民樂街與民生西路口,106-8-15,25.0569336,121.5108371
大同區,延平北路4段與迪化街2段268巷口,106-8-9,25.0728348,121.5112136
大同區,鄭州路與環河北路1段口(堤外便道),106-8-14,25.0510056,121.5066606
大同區,重慶北路3段152巷,106-8-15,25.068131,121.5127989
大同區,環河北路1段與鄭州路口(三號水門),106-8-21,25.0609678,121.5083618
大同區,市民大道1段209號轉運站,106-8-23,25.0488533,121.5187085
大同區,環河北路2段137號與環河北路2段口,106-12-14,25.085507,121.5059863
大同區,鄭州路145號,106-12-31,25.0509696,121.5093209
大同區,敦煌路21巷,106-12-31,25.0759827,121.5172353
大同區,民權西路238號,106-7-7,25.0627752,121.5128802
大同區,承德路3段225巷口,106-7-24,25.0704189,121.518706
大同區,市民大道1段209號,106-8-5,25.049116,121.5185352
大同區,重慶北路1段與歸綏街口,106-8-5,25.0580364,121.5133116
大同區,長安西路84號,106-8-12,25.0503367,121.5191331
大同區,長安西路35號,106-8-19,25.0504011,121.5196949
大同區,民生西路184號,106-9-1,25.057096,121.517248
大同區,民族西路259號,106-8-11,25.0688138,121.5114413
大同區,延平北路3段與民權西路口,106-8-26,25.0631105,121.5112207
大同區,市民高架道下重慶北路匝道,106-7-13,25.0447672,121.537358
大同區,忠孝西路1段與鄭州路83巷口,106-7-24,25.0459863,121.519409
大同區,承德路3段176巷前,106-9-14,25.0692464,121.5182299
大同區,長安西路與塔城街口,106-9-16,25.050385,121.5097864
大同區,承德路3段與敦煌路口,106-8-20,25.0707623,121.518518
大同區,承德路2段與民生西路口,106-8-27,0.0,0.0
大同區,庫倫街11號,106-5-10,25.0720624,121.5172437
大同區,塔城街與鄭州路口,106-5-15,25.050385,121.5097864
大同區,承德路2段168號,106-5-15,25.0610527,121.518024
大同區,環河北路1段與南京西路口,106-5-17,25.0537356,121.5075005
大同區,環河北路1段63號之1,106-6-2,25.0510056,121.5066606
大同區,市民大道1段R1出口前,106-9-20,25.0486673,121.5142909
大同區,台北橋往三重機車道,106-10-29,25.0637104,121.5065347
大同區,延平北路2段148號與延平北路2段口,106-11-6,25.1072873,121.4718937
大同區,重慶北路3段137巷與民族西路182巷口,106-4-28,25.0699509,121.514055
大同區,承德路3段99巷口,106-5-3,25.0634144,121.5185008
大同區,西寧北路1巷,106-4-27,25.052127,121.508659
大同區,台北橋機車道往三重方向,106-4-21,25.0637104,121.5065347
大同區,重慶北路2段與保安街口,106-6-11,25.0593752,121.5134561
大同區,承德路3段22號與承德路3段口,106-7-11,25.0641393,121.518056
大同區,延平北路2段88號,106-7-18,25.0562041,121.5114614
大同區,重慶北路3段236巷與重慶北路3段236巷45弄口,106-7-23,25.0706323,121.5118242
大同區,南京西路153號,106-7-30,25.0541428,121.5135594
大同區,重慶北路2段與民生西路口,106-4-27,25.0570027,121.5138475
大同區,重慶北路1段47-1號,106-4-28,25.050952,121.513955
大同區,鄭州路與西寧北路口,106-4-29,25.0526962,121.5086343
大同區,市民高架道往西第62號燈桿處,106-5-2,25.0447672,121.537358
大同區,昌吉街與大龍街口,106-5-3,25.0663713,121.5166849
大同區,民權西路262號,106-5-3,25.062735,121.512169
大同區,民權西路93號,106-5-10,25.0630778,121.5187926
大同區,長安西路與華亭街口,106-6-3,25.0539063,121.5131365
大同區,西寧北路與鄭州路口,106-5-21,25.0526962,121.5086343
大同區,承德路1段與長安西路口,106-5-23,25.0509042,121.5169661
大同區,南京西路36號,106-5-25,25.0526618,121.5196088
大同區,延平北路3段與昌吉街口,106-5-30,25.0682622,121.5108998
大同區,重慶北路3段與昌吉街口,106-6-3,25.0660149,121.5139359
大同區,環河北路1段與長安西路口,106-6-20,25.0524323,121.5072661
大同區,承德路2段成淵高中前,106-6-20,25.061357,121.51866
大同區,重慶北路2段與涼州街口,106-6-3,25.0607873,121.5136312
大同區,重慶北路2段與南京西路口,106-6-4,25.054104,121.5143135
大同區,民權西路與蘭州街口,106-6-5,25.062889,121.5147047
大同區,民生西路與太原路口,106-4-14,25.0570219,121.5167199
大同區,鄭州路與塔城街口,106-4-18,25.050385,121.5097864
