state_code,center,center_lat,center_lon,dist,vil,km_x,km_y,mrt,hsp_and_clc,illegal,night_club,ubike,edu_all_statecode,106_traffic_done
552226718,"(24.97196447627833, 121.57556719359505)",24.97196447627833,121.57556719359505,文山區,老泉里,2761.25,13359.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552226719,"(24.97196447627833, 121.58011743283728)",24.97196447627833,121.58011743283727,文山區,指南里,2761.25,13359.749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0
552226723,"(24.97196447627833, 121.59831838980621)",24.97196447627833,121.5983183898062,文山區,指南里,2761.25,13361.749999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.36016069801556877
552226725,"(24.97196447627833, 121.60741886829068)",24.97196447627833,121.60741886829071,文山區,指南里,2761.25,13362.750000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.31800551280259204
552326733,"(24.976486334943115, 121.55592207594691)",24.976486334943115,121.55592207594692,文山區,老泉里,2761.75,13366.750000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.45799999999999996
552326737,"(24.976486334943115, 121.5741098810717)",24.976486334943115,121.5741098810717,文山區,老泉里,2761.75,13368.75,0.0,0.0,0.0,0.0,0.0,0.0,0.2769672438514465
552326738,"(24.976486334943115, 121.5786568323529)",24.976486334943115,121.5786568323529,文山區,指南里,2761.75,13369.25,0.0,0.0,0.0,0.0,0.0,0.0,0.24007302129884475
552326739,"(24.976486334943115, 121.5832037836341)",24.976486334943115,121.58320378363408,文山區,指南里,2761.75,13369.749999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.2623422941310471
552326740,"(24.976486334943115, 121.5877507349153)",24.976486334943115,121.58775073491528,文山區,指南里,2761.75,13370.249999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.2768966654071686
552326741,"(24.976486334943115, 121.5922976861965)",24.976486334943115,121.5922976861965,文山區,指南里,2761.75,13370.75,0.0,0.0,0.0,0.0,0.0,0.0,0.25018102321858515
552326742,"(24.976486334943115, 121.5968446374777)",24.976486334943115,121.5968446374777,文山區,政大里,2761.75,13371.25,0.0,0.0,0.0,0.0,0.0,0.0,0.30221586419549284
552426752,"(24.981008193607902, 121.55696370215156)",24.981008193607906,121.55696370215156,文山區,樟文里,2762.2500000000005,13376.25000000001,0.0,0.0,0.0,0.0,0.0,0.1355,0.3405527851980848
552426753,"(24.981008193607902, 121.56150746305997)",24.981008193607906,121.56150746305995,文山區,樟腳里,2762.2500000000005,13376.750000000007,0.0,0.0,0.0,0.0,0.0,0.5169999999999999,0.42414767083127736
552426754,"(24.981008193607902, 121.56605122396837)",24.981008193607906,121.56605122396836,文山區,樟腳里,2762.2500000000005,13377.250000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.39665957776926886
552426755,"(24.981008193607902, 121.57059498487678)",24.981008193607906,121.5705949848768,文山區,老泉里,2762.2500000000005,13377.750000000011,0.0,0.0,0.052000000000000046,0.0,0.0,0.0,0.3736968319670669
552426756,"(24.981008193607902, 121.57513874578518)",24.981008193607906,121.57513874578518,文山區,指南里,2762.2500000000005,13378.25000000001,0.0,0.0,0.05349999999999999,0.0,0.0,0.0,0.4155342622504869
552426757,"(24.981008193607902, 121.57968250669359)",24.981008193607906,121.57968250669359,文山區,指南里,2762.2500000000005,13378.75000000001,0.0,0.0,0.05949999999999998,0.0,0.0,0.0,0.42826794602649165
552426758,"(24.981008193607902, 121.58422626760199)",24.981008193607906,121.584226267602,文山區,指南里,2762.2500000000005,13379.25000000001,0.0,0.0,0.5541838029931947,0.0,0.0,0.0,0.3754619948446741
552426759,"(24.981008193607902, 121.58877002851041)",24.981008193607906,121.5887700285104,文山區,指南里,2762.2500000000005,13379.750000000007,0.0,0.0,0.10862550345107726,0.0,0.0,0.0,0.34828095813935783
552426760,"(24.981008193607902, 121.59331378941881)",24.981008193607906,121.59331378941879,文山區,政大里,2762.2500000000005,13380.250000000005,0.0,0.0,0.4002204392581668,0.0,0.0,0.0,0.3920529379724625
552426761,"(24.981008193607902, 121.59785755032722)",24.981008193607906,121.59785755032722,文山區,政大里,2762.2500000000005,13380.75000000001,0.0,0.0,0.1550318963597133,0.0,0.0,0.0,0.39727150335113437
552526768,"(24.985530052272686, 121.54686568959377)",24.98553005227269,121.54686568959377,文山區,試院里,2762.7500000000005,13384.25000000001,0.0,0.0,0.06107918357891391,0.0,0.0,0.0,0.3805296813501032
552526770,"(24.985530052272686, 121.55594702517025)",24.98553005227269,121.55594702517023,文山區,樟林里,2762.7500000000005,13385.250000000005,0.0,0.0,0.181103285447835,0.0,0.0,0.17412836500696835,0.45901385121529764
552526771,"(24.985530052272686, 121.5604876929585)",24.98553005227269,121.5604876929585,文山區,樟林里,2762.7500000000005,13385.75000000001,0.0,0.0,0.3127501665333956,0.0,0.0,0.17179257114322494,0.4068925333808042
552526772,"(24.985530052272686, 121.56502836074674)",24.98553005227269,121.56502836074672,文山區,忠順里,2762.7500000000005,13386.250000000007,0.0,0.0,0.022500000000000006,0.0,0.0,0.08907124957021766,0.4428993596142696
552526773,"(24.985530052272686, 121.56956902853499)",24.98553005227269,121.569569028535,文山區,木新里,2762.7500000000005,13386.750000000011,0.0,0.0,0.347672579048481,0.0,0.0,0.1747119057191009,0.37335393143412243
552526774,"(24.985530052272686, 121.57410969632323)",24.98553005227269,121.57410969632325,文山區,指南里,2762.7500000000005,13387.250000000011,0.0,0.0,0.2386346580025626,0.0,0.0,0.26884791239658157,0.43727004608214776
552526775,"(24.985530052272686, 121.57865036411147)",24.98553005227269,121.57865036411148,文山區,萬興里,2762.7500000000005,13387.75000000001,0.0,0.0,0.5041996132485626,0.0,0.0,0.15280015997664692,0.4131865804725724
552526776,"(24.985530052272686, 121.58319103189972)",24.98553005227269,121.58319103189972,文山區,政大里,2762.7500000000005,13388.25000000001,0.0,0.0,0.536188108316475,0.0,0.0,0.3777945043274188,0.35262955189105233
552526777,"(24.985530052272686, 121.58773169968796)",24.98553005227269,121.58773169968796,文山區,指南里,2762.7500000000005,13388.75000000001,0.0,0.0,0.27895015235701165,0.0,0.0,0.44414709275193953,0.36535823473303
552526778,"(24.985530052272686, 121.5922723674762)",24.98553005227269,121.5922723674762,文山區,政大里,2762.7500000000005,13389.250000000007,0.0,0.0,0.38469882700626995,0.0,0.0,0.2933449595717002,0.4205704481127814
552526779,"(24.985530052272686, 121.59681303526445)",24.98553005227269,121.59681303526443,文山區,政大里,2762.7500000000005,13389.750000000007,0.0,0.0,0.47706137504052404,0.0,0.0,0.3732763587477782,0.3975872841070237
552626784,"(24.99005191093747, 121.53926485947247)",24.990051910937467,121.53926485947248,文山區,景美里,2763.2499999999995,13392.249999999993,0.0,0.0,0.3611028108447787,0.0,0.0,0.4796658816558578,0.4066611343202853
552626785,"(24.99005191093747, 121.54380253106834)",24.990051910937467,121.54380253106834,文山區,景東里,2763.2499999999995,13392.74999999999,0.0,0.0,0.2883622606868481,0.0,0.0,0.351532330791688,0.3088974902162441
552626786,"(24.99005191093747, 121.5483402026642)",24.990051910937467,121.5483402026642,文山區,華興里,2763.2499999999995,13393.24999999999,0.0,0.0,0.45086771042922597,0.0,0.0,0.34185884838953956,0.39296733671032474
