Number,Name,Address,Status,lat,long,cond
25548483,銘彥五金企業社,臺北市萬華區西藏路180號,核准設立,25.030008399999996,121.5030854,T
25554463,紘華工程行,臺北市北投區中央北路4段142巷2之1號2樓,核准設立,25.1335687,121.47573030000001,T
25555717,景華五金百貨行,臺北市文山區景華街222號,核准設立,24.9992582,121.54754750000001,T
25556808,聖諭工程行,臺北市南港區南港路3段130巷5弄12號,核准設立,25.0537259,121.58705159999998,T
25557124,龍鈦五金行,臺北市松山區八德路4段481號,核准設立,25.049912,121.5720611,T
25557356,上豪五金生活百貨館,臺北市士林區華榮街79號,核准設立,25.0967533,121.5232703,T
25565010,星昇機電保養工程行,臺北市士林區社正路45巷10號1樓,核准設立,25.089628100000002,121.50971000000001,T
25567592,名家水電行,臺北市萬華區青年路68巷16號1樓,核准設立,25.0233986,121.5021592,T
25573665,晨達橡膠五金行,臺北市萬華區開封街2段12號3樓之1,核准設立,25.046055,121.50873100000001,T
25574257,佳隆水電工程行,臺北市文山區辛亥路4段166巷17號,核准設立,25.0047183,121.55574890000001,T
25580167,僑富工程行,臺北市中山區中原街9號,核准設立,25.0554366,121.5289087,T
25583328,大台北五金行,臺北市松山區八德路4段435號1樓,核准設立,25.0498688,121.5702264,T
25661652,翊筌鋁窗材料行,臺北市北投區中和街441巷1弄1號,核准設立,25.143894600000003,121.4975353,T
26207370,柏億工程行,臺北市中山區長安東路2段246號7樓之5,核准設立,25.048105,121.54317549999999,T
26215028,廣詮工程行,臺北市文山區興隆路2段194號3樓,核准設立,25.001373899999997,121.55184299999999,T
26215625,盛庭工程行,臺北市中山區松江路318號13樓,核准設立,25.060655800000003,121.532867,T
26218974,富鈞水電行,臺北市大同區重慶北路3段69號,核准設立,25.0663013,121.5139462,T
26224315,三助水電行,臺北市中山區新生北路2段77巷6號,核准設立,25.0567591,121.528466,T
26228804,大金冷氣材料行,臺北市文山區辛亥路7段51號,核准設立,24.9846837,121.5544403,T
26231982,力豪工程行,臺北市北投區新市街24巷51之1號3樓,核准設立,25.1312796,121.50328219999999,T
26236852,旭豐工程行,臺北市大安區忠孝東路4段295號3樓,核准設立,25.041724,121.555095,T
26242475,何苡工程行,臺北市文山區景興路63號3樓,核准設立,24.9964527,121.54485849999999,T
26246280,極翔發照明工程行,臺北市北投區行義路23巷3號2樓,核准設立,25.125247,121.52641899999999,T
26246654,久康科技工程行,臺北市大安區忠孝東路4段169號11樓之1,核准設立,25.041705399999998,121.55036650000001,T
26247056,世佳工程行,臺北市大同區承德路2段193號10樓之5,核准設立,25.059338399999998,121.51842479999999,T
26251375,越峰工程行,臺北市中山區渭水路54號,核准設立,25.0455836,121.53506940000001,T
26252521,金鼎工程行,臺北市大同區昌吉街121號,核准設立,25.065996,121.510678,T
26257194,常勝水電材料行,臺北市大同區大龍街58號,核准設立,25.0651005,121.5159574,T
26338730,寶翔工程行,臺北市中山區南京東路3段189號10樓,核准設立,25.0520942,121.54218429999999,T
26340222,鼎曜工程行,臺北市松山區南京東路5段296號10樓,核准設立,25.051112,121.567412,T
26343781,東新水電行,臺北市南港區東新街10之10號4樓之1,核准設立,25.049877300000002,121.58345800000001,T
26344310,宏德興業工程行,臺北市中山區南京東路1段86號8樓之4,核准設立,25.0518622,121.52561170000001,T
26347858,宇盛冷氣材料行,臺北市北投區崇仁路1段18號,核准設立,25.127713,121.50121599999999,T
26349960,技美汽車電機材料商行,臺北市萬華區西藏路350號1樓,核准設立,25.0295013,121.49934609999998,T
26353725,三發五金行,臺北市內湖區康樂街72巷17弄44號1樓,核准設立,25.0703725,121.6171212,T
26367690,瑞遠工程行,臺北市文山區辛亥路7段15號,核准設立,24.9868809,121.55302900000001,T
26373047,星榮電料五金行,臺北市大同區承德路3段8巷18號4樓,核准設立,25.0636574,121.5165737,T
27172639,鏵鑫五金行,臺北市內湖區成功路2段181號1樓,核准設立,25.0655629,121.589941,T
27174186,順有五金行,臺北市北投區尊賢路258號,核准設立,25.1172464,121.50715859999998,T
27183544,鴻錡鋼鋁工程行,臺北市中正區汀州路2段78號1樓,核准設立,25.0250599,121.51873130000001,T
27184001,天福水電?飾廚具行,臺北市內湖區康樂街72巷17弄96號1樓,核准設立,25.070814499999997,121.6165585,T
27184608,安西小五金加工行,臺北市大同區環河北路1段389號,核准設立,25.061397,121.508657,T
27188549,永德五金行,臺北市萬華區康定路218號1樓,核准設立,25.0382033,121.501621,T
29220329,和興工程行,臺北市信義區松隆路167號10樓,核准設立,25.048288,121.574219,T
29246910,伯豐汽車材料行,臺北市大同區承德路2段53巷33號1樓,核准設立,25.055378899999997,121.5194709,T
30985287,幸安五金建材行,臺北市大安區忠孝東路3段217巷4弄1之1號1樓,核准設立,25.0432757,121.539588,T
31175692,鴻達五金行,臺北市北投區尊賢街249巷30號1樓,核准設立,25.117207,121.505293,T
31346133,昇煜五金行,臺北市士林區通河西街2段111號1樓,核准設立,25.093660999999997,121.500561,T
31454293,順盈工程行,臺北市內湖區麗山街46巷8之1號,核准設立,25.080691100000003,121.5800477,T
31580171,鑫采工程行,臺北市萬華區昆明街201巷8號1樓,核准設立,25.0389406,121.50449099999999,T
31842772,雲台山工程行,臺北市文山區木新路2段79巷6弄11號3樓,核准設立,24.984496,121.570755,T
31849199,譓矷工程行,臺北市信義區忠孝東路5段372巷27弄8號3樓,核准設立,25.0393919,121.574215,T
31855115,政統資訊工程行,臺北市士林區中正路653號5樓,核准設立,25.0859669,121.5078402,T
31855207,詠鈞工程行,臺北市文山區興隆路4段49之10號2樓,核准設立,24.989950399999998,121.55979669999999,T
31861783,藝順工程行,臺北市大安區和平東路3段228巷24號4樓之1,核准設立,25.0218343,121.5540737,T
31863641,宅修繕工程行,臺北市大同區萬全街11號1樓,核准設立,25.0586655,121.51976869999999,T
31865227,偉懋家電材料行,臺北市松山區民生東路5段272號1樓,核准設立,25.059051999999998,121.56774080000001,T
31871348,威竑工程行,臺北市內湖區安康路434巷36號5樓,核准設立,25.066453,121.61604550000001,T
31871641,一嘉空調工程行,臺北市南港區市民大道8段532號,核准設立,25.0539051,121.61336399999999,T
31872141,智勝壁紙材料行,臺北市大安區溫州街12巷24弄1號1樓,核准設立,25.025631,121.53179899999999,T
31874345,洪文灝工程行,臺北市士林區葫東街40號1樓,核准設立,25.0836577,121.5114572,T
31952881,名耀室內裝修工程行,臺北市萬華區環河南路2段100巷5號5樓,核准設立,25.037188,121.4949814,T
31956681,詠成五金行,臺北市松山區延壽街364號,核准設立,25.0563507,121.5586295,T
31963677,正裕保溫工程行,臺北市中山區建國北路三段175號3樓,核准設立,25.0679634,121.534012,T
31966392,弘展水電行,臺北市北投區中央北路4段330號,核准設立,25.130667600000002,121.4722379,T
36541120,國豐五金行,臺北市萬華區環河南路1段162號（河濱商場攤位第81號）,核准設立,25.034101899999996,121.493284,T
38457984,鼎紳工程行,臺北市大同區仁愛路3段9號地下1層,核准設立,25.039434399999998,121.5419962,T
38473838,長和工程行,臺北市中山區長安東路1段27號9樓之1,核准設立,25.0493881,121.5242679,T
38474338,靖勝五金行,臺北市大同區太原路50之2號3樓,核准設立,25.0509327,121.5152668,T
38475168,騰翔工程行,臺北市士林區天母西路3號8樓之16,核准設立,25.1185873,121.5292979,T
38497445,弘全工程行,臺北市內湖區新明路426巷7號,核准設立,25.0553741,121.5793553,T
38498774,士全五金行,臺北市中山區長安東路1段23之6號,核准設立,25.049482100000002,121.523794,T
38499957,頂尖環保工程行,臺北市萬華區環河南路3段257號1樓,核准設立,25.019861,121.493108,T
38500336,吉連興工程行,臺北市萬華區東園街28巷30號,核准設立,25.026872,121.495241,T
38500737,利多環保工程行,臺北市松山區南京東路4段130號2樓之1,核准設立,25.051396399999998,121.55572099999999,T
38501905,石神工程行,臺北市萬華區昆明街46號7樓之47,核准設立,25.0464563,121.50556770000001,T
38504972,名喬工程行,臺北市大同區酒泉街246巷6號3樓,核准設立,25.071795899999998,121.50953510000001,T
38506508,?奕工程行,臺北市萬華區廣州街204號2樓,核准設立,25.0366825,121.4974312,T
38508739,宇鑫工程行,臺北市大同區承德路2段155巷7號,核准設立,25.0582109,121.518776,T
