name,shopType,district,status,address,lat,lon,number
誠緻億服飾行,cloth,大安區,核准設立,敦化南路1段177巷10號,25.0429506,121.5497645,38506177
花花熊童裝小舖,cloth,信義區,核准設立,光復南路417號1樓之6,25.0366392,121.5577977,38507865
練習曲服飾店,cloth,大同區,核准設立,承德路1段77巷17號1樓,25.0521668,121.5180956,38508061
景美自然風格機能服飾店,cloth,文山區,核准設立,羅斯福路6段156巷2號1樓,25.000411,121.539328,38508230
桂女織服飾店,cloth,信義區,核准設立,松山路556號,25.037489,121.578126,38508631
海灘古著服飾店,cloth,大同區,核准設立,赤峰街71巷26號1樓,25.0565671,121.5202954,38509266
杉二衣服飾店,cloth,松山區,核准設立,新東街28號1樓,25.0592925,121.5660913,38509408
政儀服飾店,cloth,中山區,核准設立,松江路123巷3號,25.0530617,121.53364840000002,38510236
提拉米蘇服飾店,cloth,信義區,核准設立,永吉路439號,25.045599,121.578218,38510453
京阪精品服飾,cloth,中山區,核准設立,雙城街10巷41號1樓,25.0642301,121.5231187,38510480
艾蜜奇精品服飾店,cloth,中山區,核准設立,雙城街12巷3之2號,25.0631883,121.5244635,38511018
茹品衣舖,cloth,信義區,核准設立,忠孝東路5段790巷20弄2號1樓,25.0429409,121.581924,38513944
喬袺服飾企業社,cloth,大安區,核准設立,通化街13號,25.0320484,121.554345,38514042
漢妮流行時尚服飾行,cloth,松山區,核准設立,南京東路5段123巷15號,25.0523785,121.5607311,38514649
派思翠精品服飾店,cloth,大安區,核准設立,忠孝東路4段205巷14號,25.0424165,121.5518804,38514900
艾美立服飾行,cloth,萬華區,核准設立,漢中街50巷11號,25.044146,121.507069,38528876
俏琳琳精品服飾店,cloth,中山區,核准設立,松江路283號5樓,25.060222,121.5334757,38528881
盈佳國際流行服飾店,cloth,士林區,核准設立,大南路116號,25.0897269,121.5237265,38533391
小弟妹童裝行,cloth,信義區,核准設立,永吉路489號,25.0455849,121.579297,38548845
寶石男仕禮服行寶三店,cloth,大安區,核准設立,光復南路84號1樓,25.0445219,121.5574984,38550932
衣哲服飾店,cloth,中正區,核准設立,八德路1段46號9樓,25.0437396,121.53082240000002,38553918
麥兜精品服飾店,cloth,萬華區,核准設立,武昌街2段50巷18號1樓,25.044233,121.506854,38554563
瑪麗服飾精品店,cloth,大安區,核准設立,敦化南路1段177巷10號,25.0429506,121.5497645,38554769
茱葉特精品服飾店,cloth,大安區,核准設立,忠孝東路4段205巷29弄1號1樓,25.043193,121.5519991,38554796
嘉佳精品服飾企業,cloth,內湖區,核准設立,康寧路3段165巷14弄6號,25.0708077,121.6122771,38555325
禾荷國際衣飾,cloth,信義區,核准設立,永吉路443巷13弄6號,25.046916,121.578602,38556149
維克特傢飾館,cloth,中正區,核准設立,泉州街26號1樓,25.0264035,121.5138418,38556470
澐裳服飾精品店,cloth,中山區,核准設立,錦州街370號,25.0600978,121.5400794,38557864
友良服飾行,cloth,大安區,核准設立,安和路1段127巷29弄11號,25.0355328,121.55369650000002,38558408
全衣帆服飾店,cloth,中山區,核准設立,雙城街17巷10號1樓,25.0644488,121.5248032,38559482
豪邦球鞋用品行,cloth,萬華區,核准設立,西寧南路72之1號4樓,25.043239,121.5059649,38559820
