name,shopType,district,status,address,lat,lon,number,state_code
建中五金行,hardware,信義區,核准設立,吳興街220巷77號1樓,25.026061,121.560749,17774324,553426910
新涵五金行,hardware,內湖區,核准設立,成功路2段316號,25.0673424,121.5904584,17806043,554327013
貿順工程行,hardware,萬華區,核准設立,萬大路550號2樓,25.018407999999997,121.496398,17818343,553226873
峰源水電行,hardware,士林區,核准設立,德行東路190巷2弄2號1樓,25.1083731,121.53106310000001,18103817,555227049
億隆家庭五金行,hardware,信義區,核准設立,松山路541巷8號,25.0376989,121.57851399999998,18375373,553726946
漢昌鋼鋁工程行,hardware,北投區,核准設立,西安街2段195號1樓,25.1198679,121.51023229999998,18387357,555527050
長春五金行,hardware,大同區,核准設立,太原路97巷1號1樓,25.05219,121.516074,18408521,554026966
加新五金行,hardware,文山區,核准設立,木柵路1段66之8號,24.986781,121.54773600000001,19526434,552526773
武昌水電行,hardware,松山區,核准設立,南京東路5段123巷4弄5號,25.0526402,121.56120279999999,20578254,554026977
大進汽車材料行,hardware,信義區,核准設立,松隆路23號1樓,25.044089000000003,121.56751200000001,20754759,553826959
百泰水電五金材料行,hardware,信義區,核准設立,吳興街549號,25.0228433,121.56961609999999,20900177,553326902
大民水電冷氣行,hardware,信義區,核准設立,文昌街310號1樓,25.0320843,121.5576895,20953069,553526926
來來五金行,hardware,松山區,核准設立,基隆路1段1號,25.0500914,121.57001340000001,20964896,553926973
上順五金行,hardware,信義區,核准設立,永吉路189之2號1樓,25.045779,121.5728831,20996840,553826964
久保家具材料行,hardware,士林區,核准設立,永平街80巷39號1樓,25.091529100000002,121.50640200000001,21740754,554827029
大都會工程行,hardware,萬華區,核准設立,中華路2段150巷15號1樓,25.0302975,121.5035338,21762341,553526909
閤慶水電行,hardware,內湖區,核准設立,江南街65巷49號1樓,25.0764536,121.5789183,21778152,554527025
建榮工程行,hardware,中山區,核准設立,龍江路318巷29號2樓,25.064885999999998,121.538896,21899424,554326997
泓勝工程行,hardware,內湖區,核准設立,成功路4段41巷7弄1號,25.0808139,121.59218,25513695,554627034
大正油漆工程行,hardware,士林區,核准設立,承德路4段6巷91號,25.080432899999998,121.518626,25524588,554627017
久益五金行,hardware,萬華區,核准設立,富民路145巷38號,25.01879,121.50098600000001,25532026,553226875
富裕五金行,hardware,萬華區,核准設立,環河南路1段42號21號攤位,25.034101899999996,121.493284,25538540,553626917
優異安控工程行,hardware,中正區,核准設立,羅斯福路3段100之101號,25.021174,121.52721399999999,25540829,553326888
奉龍聖起裝潢工程行,hardware,中山區,核准設立,(南)中原街91號,25.0596635,121.52899920000002,25541192,554126985
銘彥五金企業社,hardware,萬華區,核准設立,西藏路180號,25.030008399999996,121.5030854,25548483,553526908
紘華工程行,hardware,北投區,核准設立,中央北路4段142巷2之1號2樓,25.1335687,121.47573030000001,25554463,555827045
景華五金百貨行,hardware,文山區,核准設立,景華街222號,24.9992582,121.54754750000001,25555717,552826820
聖諭工程行,hardware,南港區,核准設立,南港路3段130巷5弄12號,25.0537259,121.58705159999998,25556808,554026985
龍鈦五金行,hardware,松山區,核准設立,八德路4段481號,25.049912,121.5720611,25557124,553926974
