state_code,unitPrice,cloth_done,convStore_done,edu_all_statecode,hardware_done,hsp_and_clc,illegal_don,mrt,night_club,park,ubike,restaurant,job
553226881,787000.0,,1.0,,,,,,,,,28.0,3.0
553226882,682000.0,,2.0,1.0,1.0,,,,,,,33.0,
553226883,448000.0,2.0,1.0,,,,1.0,,1.0,,,40.0,
553226884,476000.0,,,,,,,,,,,18.0,
553226885,508000.0,,,,,,1.0,,,,,8.0,
553226886,425000.0,,1.0,1.0,,,,,,,,3.0,
553226887,515000.0,,1.0,,,,1.0,1.0,,,,3.0,
553226888,496000.0,,,,1.0,,1.0,,,,,7.0,
553226889,427000.0,,,,,,1.0,,,,,1.0,
553226890,437000.0,1.0,,,,,,,,,,2.0,
553226892,487000.0,,,,,,,,,,,,
553226893,407500.0,,,,,,,,,,,,
553326876,622000.0,,,,,,,,,,,,
553326877,383000.0,1.0,1.0,,2.0,,,,,,,5.0,
553326878,352000.0,,1.0,,1.0,,,,,,,12.0,
553326879,337500.0,,1.0,,,,,,,,,8.0,
553326880,351000.0,,,,,,1.0,,,,,5.0,
553326881,384000.0,,,,,,1.0,,,,,2.0,
553326882,387000.0,,1.0,,,,1.0,,,,,10.0,
553326883,430000.0,,,2.0,,,,,,,,5.0,
553326884,421000.0,2.0,1.0,,,,1.0,,,,,27.0,5.0
553326885,843000.0,,1.0,,1.0,,1.0,,,1.0,,44.0,1.0
553326886,549000.0,1.0,1.0,1.0,1.0,,,,,,1.0,30.0,
553326887,485000.0,,,2.0,,,4.0,1.0,,,,21.0,
553326888,461000.0,2.0,2.0,3.0,1.0,,2.0,,,,,40.0,
553326889,524500.0,2.0,2.0,1.0,2.0,,1.0,,2.0,1.0,,45.0,1.0
553326890,509000.0,,1.0,,,,,,1.0,,,67.0,
553326891,632500.0,,2.0,,,,3.0,,,,,63.0,
553326892,498000.0,,2.0,2.0,,,1.0,,,1.0,,64.0,7.0
553326893,569000.0,2.0,1.0,4.0,,1.0,7.0,,,,,90.0,13.0
553326894,602000.0,3.0,2.0,,1.0,,5.0,,,,,74.0,
553326895,564000.0,7.0,2.0,,,1.0,9.0,,,,,97.0,12.0
553326896,750500.0,5.0,2.0,,2.0,,4.0,,,,,83.0,14.0
553326897,761000.0,1.0,3.0,,,,,,,,,56.0,
553326898,771500.0,,,1.0,,,,,,,,36.0,4.0
553326899,656000.0,,2.0,,,,,,,,,29.0,28.0
553326900,534000.0,,2.0,,,,3.0,,,,,32.0,21.0
553326901,475000.0,2.0,,,1.0,,1.0,,,,,23.0,
553326902,499000.0,,,,1.0,,,,,,,11.0,1.0
553326903,600000.0,,1.0,,,,,,,,,2.0,
553326904,494500.0,,,,,,,,,,,3.0,
553326905,602000.0,,,,1.0,,,,,,,6.0,
553426889,580000.0,,,,1.0,,,,,,,1.0,
553426890,495000.0,1.0,,,,,,,,,,3.0,
553426891,439500.0,,,,,,1.0,,,,,4.0,
553426892,580000.0,,1.0,,,,,,,,,9.0,
553426893,409500.0,,,,1.0,1.0,3.0,,,,,11.0,
553426894,440000.0,1.0,1.0,1.0,,,,,,,,10.0,
553426895,381000.0,,4.0,1.0,,1.0,6.0,,,,,15.0,
553426896,489000.0,,2.0,,,,2.0,,,,,64.0,12.0
553426897,486000.0,3.0,1.0,3.0,,,2.0,,,,,63.0,1.0
553426898,601000.0,7.0,6.0,1.0,3.0,1.0,3.0,,,,,138.0,4.0
553426899,471000.0,,2.0,2.0,,,3.0,,,,,85.0,1.0
553426900,791000.0,,1.0,1.0,1.0,1.0,7.0,,,,,61.0,4.0
553426901,559000.0,2.0,4.0,1.0,,1.0,1.0,,1.0,,,109.0,2.0
553426902,709000.0,3.0,3.0,2.0,2.0,4.0,3.0,,,,,92.0,21.0
553426903,704000.0,4.0,4.0,1.0,1.0,3.0,5.0,,5.0,,,140.0,34.0
553426904,730000.0,5.0,2.0,1.0,1.0,1.0,2.0,,1.0,,,148.0,53.0
553426905,709000.0,,4.0,3.0,,1.0,3.0,,2.0,,,114.0,9.0
553426906,740000.0,,2.0,,,1.0,1.0,,,,,122.0,108.0
553426907,652500.0,,5.0,1.0,,,1.0,,1.0,,,72.0,18.0
553426908,739000.0,1.0,1.0,,,,4.0,,1.0,,,121.0,
553426909,671000.0,,,3.0,,,1.0,,3.0,,,66.0,2.0
553426910,715000.0,1.0,1.0,,1.0,1.0,4.0,,,,,41.0,1.0
553426911,565500.0,,1.0,2.0,,1.0,,,1.0,,,53.0,1.0
553426912,732500.0,2.0,1.0,,2.0,,3.0,,,,,86.0,1.0
553426913,765000.0,1.0,3.0,,1.0,,2.0,,,,,107.0,2.0
553426914,682000.0,1.0,3.0,,,,1.0,,,,,104.0,50.0
553426915,586500.0,,4.0,,1.0,,2.0,,,,,66.0,
553426916,686500.0,,,,,1.0,,,,,,44.0,5.0
553426917,708000.0,,1.0,,,,,,,,,21.0,3.0
553426918,712500.0,,1.0,,,,,,,,,22.0,1.0
553526902,237000.0,,,,,,,,,,,2.0,
553526903,386500.0,1.0,,1.0,,,1.0,,,,,7.0,
553526904,394000.0,,,,,,,,,,,6.0,
553526905,437000.0,,,2.0,,,,,,,,46.0,
553526906,469000.0,,,,2.0,,3.0,,,,,54.0,
553526907,496000.0,,2.0,,,,1.0,,,,,58.0,
553526908,477000.0,,2.0,3.0,1.0,1.0,1.0,,,,,30.0,
553526909,821500.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,38.0,11.0
553526910,653000.0,1.0,2.0,3.0,,1.0,3.0,,,,1.0,77.0,6.0
553526911,767000.0,,3.0,,1.0,,6.0,,,,,71.0,1.0
553526912,654500.0,,1.0,2.0,1.0,,4.0,,,,,49.0,2.0
553526913,674500.0,3.0,3.0,1.0,,,3.0,,,1.0,,71.0,1.0
553526914,710000.0,6.0,4.0,3.0,,,3.0,,2.0,,,108.0,11.0
553526915,631000.0,6.0,1.0,,,,2.0,,,,1.0,83.0,12.0
553526916,804000.0,5.0,1.0,2.0,1.0,1.0,5.0,,,,,103.0,22.0
553526917,683000.0,2.0,3.0,,,,1.0,,1.0,,,109.0,9.0
553526918,715000.0,2.0,1.0,1.0,1.0,,2.0,,,,,133.0,3.0
553526919,701000.0,7.0,4.0,4.0,,,,1.0,2.0,,,175.0,28.0
553526920,744000.0,4.0,2.0,3.0,,,3.0,,1.0,,,192.0,10.0
553526921,772000.0,3.0,,,1.0,,2.0,,2.0,,,185.0,141.0
553526922,714000.0,3.0,1.0,,,,4.0,,1.0,1.0,,181.0,3.0
553526923,760000.0,1.0,1.0,1.0,,,3.0,,,,,76.0,17.0
553526924,683000.0,1.0,1.0,2.0,,,2.0,,1.0,,,112.0,3.0
553526925,810500.0,4.0,2.0,1.0,,2.0,1.0,1.0,2.0,,,114.0,4.0
553526926,748000.0,2.0,3.0,,1.0,1.0,,,2.0,,,73.0,52.0
553526927,1004500.0,,1.0,1.0,,,4.0,,,,,34.0,6.0
553526928,798500.0,,,,,,,,1.0,1.0,,26.0,12.0
553526929,851000.0,,,1.0,,,2.0,1.0,1.0,,,19.0,12.0
553526931,502000.0,,,,,,2.0,1.0,,,,1.0,
553526932,558000.0,,1.0,,,,,,,,,,
553626914,331000.0,,,,,,1.0,,,,,2.0,
553626915,337000.0,,,,,,1.0,,,,,4.0,3.0
553626916,347000.0,2.0,,,,,1.0,,,,,3.0,
553626917,359000.0,7.0,2.0,1.0,4.0,,1.0,,,,,10.0,
553626918,348000.0,7.0,,,,,1.0,,,,,13.0,
553626919,404000.0,17.0,1.0,,,,1.0,,,,,13.0,
553626920,334000.0,19.0,2.0,,,,6.0,,,1.0,,23.0,2.0
553626921,503000.0,8.0,4.0,1.0,1.0,,5.0,,,,,60.0,
553626922,350000.0,5.0,3.0,,,,1.0,,,,,34.0,
553626923,739000.0,2.0,2.0,,1.0,,4.0,,1.0,,,80.0,3.0
553626924,653500.0,7.0,3.0,2.0,1.0,1.0,9.0,,,,,88.0,2.0
553626925,794000.0,2.0,5.0,2.0,1.0,1.0,10.0,2.0,,,,134.0,5.0
553626926,847000.0,6.0,5.0,2.0,2.0,3.0,12.0,1.0,,,,134.0,12.0
553626927,864000.0,3.0,4.0,2.0,,1.0,7.0,,,,,93.0,28.0
553626928,753500.0,2.0,2.0,,,,2.0,,,,2.0,70.0,6.0
553626929,807000.0,2.0,2.0,,,1.0,1.0,,,,,95.0,15.0
553626930,833000.0,,4.0,,,,1.0,1.0,,,,131.0,17.0
553626931,835000.0,2.0,2.0,2.0,,1.0,5.0,,1.0,,,180.0,18.0
553626932,749000.0,3.0,,,,,,,,,,133.0,16.0
553626933,746000.0,,2.0,2.0,,2.0,5.0,,3.0,,,86.0,122.0
553626934,826000.0,5.0,3.0,,,,2.0,,,,,67.0,
553626935,849000.0,,1.0,1.0,,1.0,1.0,,2.0,,,103.0,21.0
553626936,697000.0,1.0,2.0,,,1.0,1.0,,3.0,,,87.0,2.0
553626937,750000.0,,3.0,1.0,,4.0,,,5.0,,1.0,179.0,25.0
553626938,744000.0,3.0,4.0,,,1.0,2.0,,6.0,,,247.0,2.0
553626939,730000.0,,1.0,2.0,,,1.0,,2.0,,,164.0,15.0
553626940,1015000.0,,,1.0,,1.0,1.0,,1.0,,,61.0,20.0
553626941,688000.0,,2.0,2.0,,,,,1.0,,1.0,31.0,19.0
553626942,699000.0,,1.0,2.0,1.0,,,,,,,24.0,4.0
553626943,507000.0,,,,,,2.0,,,,,8.0,
553626944,594500.0,1.0,1.0,,,,,,,,,22.0,
553626945,348000.0,1.0,,1.0,,,3.0,,,,,10.0,
553626946,355000.0,,1.0,,,,1.0,,,,,1.0,
553626947,334500.0,,,,,,,,,,,,
553626949,213000.0,,,,,,,,,,,1.0,
553626950,228000.0,,1.0,,,,,,,,,,
553626951,301000.0,,,,,,,,,,,,
553626952,335000.0,,,,,,,,,,,,
553626953,284500.0,,,,,,1.0,,,,,,
553626954,307500.0,,,,,,1.0,,,,,,
553726927,448500.0,,,,,,,,,,,,
553726928,335000.0,2.0,,,,,,,,,,24.0,
553726929,374500.0,1.0,,,1.0,,,,,,,10.0,
553726930,612000.0,1.0,1.0,4.0,1.0,1.0,4.0,,,,,40.0,
553726931,510000.0,1.0,1.0,1.0,2.0,,2.0,,,,,24.0,
553726932,502000.0,,,1.0,1.0,,,,,,,19.0,
553726933,447000.0,,2.0,2.0,,,,,,,,17.0,1.0
553726934,693000.0,,,,1.0,,3.0,,1.0,,,32.0,
553726935,467000.0,,,1.0,2.0,,4.0,,,,,50.0,
553726936,654000.0,1.0,3.0,1.0,,,5.0,,,,,41.0,7.0
553726937,643000.0,,3.0,,,,2.0,,,,,40.0,4.0
553726938,829000.0,,1.0,,,1.0,,,,,1.0,71.0,3.0
553726939,709500.0,,1.0,1.0,,1.0,3.0,,,1.0,1.0,85.0,17.0
553726940,865000.0,1.0,2.0,,,4.0,3.0,,3.0,,,128.0,9.0
553726941,936000.0,,2.0,1.0,,1.0,10.0,,,,,131.0,4.0
553726942,937000.0,4.0,6.0,1.0,1.0,2.0,3.0,,4.0,,,163.0,21.0
553726943,765000.0,2.0,1.0,3.0,,1.0,,,2.0,,,168.0,4.0
553726944,829500.0,4.0,1.0,2.0,,3.0,1.0,,,,,213.0,11.0
553726945,761000.0,6.0,3.0,,,1.0,,,,,,218.0,13.0
553726946,793000.0,9.0,6.0,,1.0,,4.0,,,,,446.0,5.0
553726947,753000.0,9.0,4.0,,,1.0,3.0,,2.0,,,572.0,24.0
553726948,880000.0,4.0,1.0,1.0,1.0,5.0,,1.0,1.0,,,263.0,13.0
553726949,820000.0,11.0,,2.0,3.0,8.0,2.0,1.0,1.0,,,274.0,18.0
553726950,845000.0,6.0,6.0,1.0,,1.0,4.0,,4.0,,,150.0,48.0
553726951,671500.0,1.0,3.0,,1.0,,1.0,1.0,,,,239.0,3.0
553726952,715000.0,3.0,3.0,,,1.0,3.0,,,,,142.0,8.0
553726953,620000.0,,4.0,,,1.0,5.0,,,,1.0,114.0,16.0
553726954,647000.0,,2.0,,3.0,,5.0,,,,,62.0,11.0
553726955,500000.0,,1.0,,,,1.0,,,,,25.0,
553726956,450500.0,1.0,1.0,,,,1.0,,,,,9.0,
553726957,465000.0,,2.0,,,,1.0,,,,,8.0,2.0
553726958,296000.0,,,,,,,,,,,1.0,
553726959,550500.0,,,,,,,,,,,1.0,
553726961,544000.0,,1.0,1.0,,,,,,,,,
553726962,272000.0,,,,,,1.0,,,,,,
553726963,341500.0,,,,,,,,,,,2.0,
553726964,340000.0,,,1.0,,,1.0,,,,,3.0,
553726965,342500.0,,,,,,,,,,,2.0,
553826939,417000.0,,,,,,,,,,,,
553826940,294000.0,,1.0,,1.0,,,,,,,8.0,
553826941,437000.0,1.0,1.0,,,,2.0,,,1.0,,31.0,
553826942,485500.0,7.0,1.0,,,,,1.0,1.0,,,128.0,3.0
553826943,600000.0,28.0,3.0,1.0,,,1.0,,,,,121.0,10.0
553826944,432500.0,23.0,2.0,,,,3.0,,,,,194.0,32.0
553826945,686000.0,11.0,1.0,2.0,,1.0,3.0,1.0,,,,90.0,6.0
553826946,749000.0,15.0,3.0,,,2.0,2.0,,,1.0,,120.0,37.0
553826947,506000.0,8.0,2.0,1.0,,,1.0,,1.0,,,169.0,8.0
553826948,550500.0,4.0,5.0,2.0,2.0,1.0,2.0,,,,,241.0,34.0
553826949,603000.0,5.0,8.0,1.0,1.0,2.0,2.0,,,,,254.0,37.0
553826950,630000.0,4.0,6.0,,2.0,1.0,8.0,,1.0,1.0,1.0,284.0,16.0
553826951,788500.0,11.0,10.0,,4.0,4.0,6.0,,6.0,1.0,,392.0,24.0
553826952,826500.0,21.0,5.0,,1.0,3.0,1.0,,,,,461.0,43.0
553826953,744000.0,20.0,7.0,,4.0,2.0,2.0,,5.0,,,565.0,5.0
553826954,850000.0,15.0,9.0,,,1.0,1.0,,1.0,,,316.0,35.0
553826955,705500.0,1.0,4.0,,2.0,,3.0,,3.0,2.0,,267.0,23.0
553826956,719000.0,2.0,1.0,1.0,2.0,2.0,2.0,,3.0,,1.0,245.0,15.0
553826957,655000.0,3.0,2.0,1.0,,,5.0,,2.0,1.0,,181.0,13.0
553826958,677000.0,3.0,2.0,,1.0,,3.0,,,2.0,,104.0,16.0
553826959,724500.0,1.0,4.0,3.0,1.0,1.0,5.0,,1.0,,,203.0,13.0
553826960,670000.0,,2.0,,,,5.0,,1.0,,,82.0,4.0
553826961,724000.0,2.0,4.0,,2.0,,3.0,,1.0,,,54.0,5.0
553826962,685000.0,,1.0,,1.0,,2.0,,1.0,,,30.0,2.0
553826963,648000.0,,2.0,2.0,,,1.0,,,,,36.0,13.0
553826964,627000.0,4.0,3.0,,1.0,,3.0,,,,,43.0,6.0
553826965,593000.0,17.0,3.0,1.0,,1.0,5.0,,,,,51.0,6.0
553826966,564000.0,19.0,2.0,1.0,2.0,,1.0,,,,,45.0,
553826967,647000.0,17.0,,1.0,,,3.0,,,,,18.0,
553826968,610000.0,,,,,,1.0,,,1.0,,7.0,2.0
553826969,661000.0,1.0,1.0,,,1.0,1.0,,,,,3.0,
553826970,474000.0,,2.0,,,,2.0,,,,,,
553826973,481000.0,,,,,,1.0,,,,,8.0,
553826974,405000.0,,,,,,,,,,,1.0,1.0
553826975,320000.0,,,,,,,,,,,2.0,
553926948,459000.0,,,,,,,,,,,,
553926952,482000.0,1.0,1.0,1.0,1.0,,,,1.0,,,6.0,
553926953,512000.0,1.0,1.0,,1.0,,,,,,,13.0,
553926954,437500.0,,,,,,1.0,,,,,20.0,7.0
553926955,783000.0,,,,2.0,,1.0,,,,,27.0,
553926956,853000.0,,,,2.0,,1.0,,,,,63.0,12.0
553926957,543000.0,,,,,,1.0,1.0,,1.0,,133.0,3.0
553926958,623000.0,1.0,1.0,,,,2.0,1.0,,,,33.0,
553926959,666000.0,1.0,2.0,,2.0,,,,1.0,1.0,,58.0,2.0
553926960,622000.0,6.0,,,3.0,,1.0,,1.0,,,245.0,11.0
553926961,650000.0,10.0,4.0,,2.0,,1.0,,1.0,,,180.0,14.0
553926962,675500.0,15.0,6.0,,4.0,1.0,3.0,,2.0,,,251.0,17.0
553926963,801000.0,8.0,6.0,3.0,2.0,1.0,3.0,,1.0,,,229.0,26.0
553926964,598500.0,2.0,8.0,1.0,,1.0,4.0,,2.0,,,240.0,22.0
553926965,690000.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,1.0,240.0,16.0
553926966,761000.0,1.0,3.0,2.0,,1.0,6.0,,1.0,,,154.0,17.0
553926967,734500.0,,6.0,1.0,,,2.0,,1.0,1.0,,160.0,26.0
553926968,678000.0,6.0,5.0,3.0,,,1.0,,2.0,,,195.0,27.0
553926969,656000.0,20.0,1.0,1.0,,1.0,5.0,,,,,116.0,15.0
553926970,566000.0,15.0,1.0,2.0,2.0,1.0,6.0,,,,1.0,96.0,18.0
553926971,618000.0,1.0,1.0,1.0,,,1.0,,1.0,,,64.0,22.0
553926972,622000.0,1.0,2.0,,,1.0,3.0,,,,,97.0,4.0
553926973,547500.0,,6.0,,5.0,,5.0,,,,,119.0,7.0
553926974,548000.0,1.0,3.0,1.0,2.0,,,,,,,70.0,26.0
553926975,712500.0,3.0,4.0,,,,2.0,,,,,189.0,9.0
553926976,658000.0,2.0,,1.0,1.0,,1.0,,,,,92.0,23.0
553926977,531500.0,2.0,1.0,,,,1.0,,,,,32.0,1.0
553926978,390000.0,1.0,1.0,,1.0,,2.0,,,,,17.0,1.0
553926979,792000.0,,1.0,,,,,,,,1.0,13.0,
553926980,479000.0,,,,,,,,,1.0,,7.0,
553926981,570000.0,,,,,,,,,,,1.0,3.0
553926982,450000.0,,,,,,1.0,,,,,,
553926985,385000.0,,,,1.0,,,,,,,,
554026963,652000.0,1.0,1.0,,,,,,,,,,
554026964,557500.0,4.0,1.0,,,1.0,1.0,,,,,23.0,1.0
554026965,505000.0,1.0,2.0,1.0,4.0,,3.0,,,,,63.0,1.0
